%time,field.data
1733220783923597711,0.012580825947225094
1733220783963663651,0.012580825947225094
1733220784003769630,0.012580825947225094
1733220784043862853,0.012580825947225094
1733220784083935356,0.012919260188937187
1733220784123992619,0.012919260188937187
1733220784164134688,0.012919260188937187
1733220784204261024,0.012919260188937187
1733220784244321306,0.012919260188937187
1733220784284489670,0.012919260188937187
1733220784324559233,0.012919260188937187
1733220784364611766,0.012919260188937187
1733220784404741364,0.012919260188937187
1733220784444815984,0.012919260188937187
1733220784484878001,0.012919260188937187
1733220784524947012,0.012919260188937187
1733220784565011911,0.012919260188937187
1733220784605132130,0.012919260188937187
1733220784645221792,0.012919260188937187
1733220784685343172,0.013729169964790344
1733220784725703244,0.013729169964790344
1733220784765487815,0.013729169964790344
1733220784805832959,0.013729169964790344
1733220784845685687,0.013729169964790344
1733220784885900163,0.013729169964790344
1733220784925896621,0.013729169964790344
1733220784965972451,0.013729169964790344
1733220785006226869,0.013729169964790344
1733220785046159770,0.013729169964790344
1733220785086254584,0.013729169964790344
1733220785126350741,0.013729169964790344
1733220785166421311,0.013729169964790344
1733220785206610611,0.013729169964790344
1733220785246637871,0.012760914862155914
1733220785286758172,0.012760914862155914
1733220785326821676,0.012760914862155914
1733220785366868779,0.012760914862155914
1733220785406952314,0.012760914862155914
1733220785447031157,0.012760914862155914
1733220785487108739,0.012760914862155914
1733220785527212184,0.012760914862155914
1733220785567304232,0.012760914862155914
1733220785607383203,0.012760914862155914
1733220785647468771,0.012760914862155914
1733220785687546204,0.012760914862155914
1733220785727676739,0.012760914862155914
1733220785767855168,0.012760914862155914
1733220785807877646,0.013269415125250816
1733220785848024672,0.013269415125250816
1733220785888212493,0.013269415125250816
1733220785928400558,0.013269415125250816
1733220785968314195,0.013269415125250816
1733220786008414179,0.013269415125250816
1733220786048475035,0.013269415125250816
1733220786088648029,0.013269415125250816
1733220786128692038,0.013269415125250816
1733220786168801624,0.013269415125250816
1733220786208945070,0.013269415125250816
1733220786248967380,0.013269415125250816
1733220786289191903,0.013269415125250816
1733220786329206969,0.013269415125250816
1733220786369268725,0.012380839325487614
1733220786409353267,0.012380839325487614
1733220786449456126,0.012380839325487614
1733220786489602735,0.012380839325487614
1733220786529743781,0.012380839325487614
1733220786569735942,0.012380839325487614
1733220786609825984,0.012380839325487614
1733220786649904525,0.012380839325487614
1733220786690000534,0.012380839325487614
1733220786730109381,0.012380839325487614
1733220786770163876,0.012380839325487614
1733220786810288029,0.012380839325487614
1733220786850363325,0.012380839325487614
1733220786890463724,0.012380839325487614
1733220786930568847,0.012380839325487614
1733220786970668521,0.013482681475579739
1733220787010762365,0.013482681475579739
1733220787050835332,0.013482681475579739
1733220787090890207,0.013482681475579739
1733220787130978631,0.013482681475579739
1733220787171034951,0.013482681475579739
1733220787211124247,0.013482681475579739
1733220787251207366,0.013482681475579739
1733220787291316696,0.013482681475579739
1733220787331432539,0.013482681475579739
1733220787371512341,0.013482681475579739
1733220787411624870,0.013482681475579739
1733220787451743923,0.013482681475579739
1733220787491807073,0.013482681475579739
1733220787531896705,0.013562345877289772
1733220787571969592,0.013562345877289772
1733220787612048582,0.013562345877289772
1733220787652138445,0.013562345877289772
1733220787692248776,0.013562345877289772
1733220787732341908,0.013562345877289772
1733220787772468148,0.013562345877289772
1733220787812607868,0.013562345877289772
1733220787852667662,0.013562345877289772
1733220787892767428,0.013562345877289772
1733220787932829943,0.013562345877289772
1733220787972898102,0.013562345877289772
1733220788013000667,0.013562345877289772
1733220788053060070,0.013562345877289772
1733220788093148433,0.013562345877289772
1733220788133237212,0.014090029522776604
1733220788173347489,0.014090029522776604
1733220788213429157,0.014090029522776604
1733220788253512985,0.014090029522776604
1733220788293622807,0.014090029522776604
1733220788333695655,0.014090029522776604
1733220788373772339,0.014090029522776604
1733220788413872949,0.014090029522776604
1733220788453937519,0.014090029522776604
1733220788494017130,0.014090029522776604
1733220788534114103,0.014090029522776604
1733220788574197717,0.014090029522776604
1733220788614290614,0.014090029522776604
1733220788654394936,0.014090029522776604
1733220788694493917,0.013517191633582115
1733220788734589306,0.013517191633582115
1733220788774652769,0.013517191633582115
1733220788814745592,0.013517191633582115
1733220788858362682,0.013517191633582115
1733220788898430714,0.013517191633582115
1733220788938543420,0.013517191633582115
1733220788978768488,0.013517191633582115
1733220789018731552,0.013517191633582115
1733220789058799739,0.013517191633582115
1733220789098901591,0.013517191633582115
1733220789139160387,0.013517191633582115
1733220789179171271,0.013517191633582115
1733220789219478023,0.013517191633582115
1733220789259263051,0.013002157211303711
1733220789299340202,0.013002157211303711
1733220789339421705,0.013002157211303711
1733220789379561258,0.013002157211303711
1733220789419635104,0.013002157211303711
1733220789459741043,0.013002157211303711
1733220789499820363,0.013002157211303711
1733220789539907045,0.013002157211303711
1733220789580020261,0.013002157211303711
1733220789620080583,0.013002157211303711
1733220789660162177,0.013002157211303711
1733220789700265171,0.013002157211303711
1733220789740370618,0.013002157211303711
1733220789780457490,0.013002157211303711
1733220789820608483,0.013002157211303711
1733220789860669927,0.014944059774279594
1733220789900721561,0.014944059774279594
1733220789940816209,0.014944059774279594
1733220789980907596,0.014944059774279594
1733220790021016419,0.014944059774279594
1733220790061080538,0.014944059774279594
1733220790101163666,0.014944059774279594
1733220790141231488,0.014944059774279594
1733220790181387560,0.014944059774279594
1733220790221481000,0.014944059774279594
1733220790261552164,0.014944059774279594
1733220790301629466,0.014944059774279594
